GED2020_V1,GED2020__1,GED2020__2,General_El,LAND_AREA_,AREA_SQ_KM,Shape_Leng
001,Auckland Central,Auckland Central,62919,485.846838956,5856.93428219,432569.618479
002,Banks Peninsula,Banks Peninsula,68134,1069.1466239,4310.40729439,292496.17542
003,Bay of Plenty,Bay of Plenty,64223,546.80606792,1588.40428469,339725.237087
004,Botany,Botany,65124,34.7470840025,44.5594068957,48914.2394505
005,Christchurch Central,Christchurch Central,65571,31.561223531,31.5612115454,38124.4826559
006,Christchurch East,Christchurch East,63850,91.5660229053,371.968735488,86528.2806483
007,Coromandel,Coromandel,64568,4270.52670012,12015.1812899,557654.767759
008,Dunedin,Dunedin,67167,703.848753371,2203.37999742,220924.766886
009,East Coast,East Coast,66175,13813.8202158,25132.9231907,1028470.46692
010,East Coast Bays,East Coast Bays,64635,46.7812700083,119.301432084,60230.8620329
011,Epsom,Epsom,62147,20.0193174574,21.9873945651,23378.1491801
012,Hamilton East,Hamilton East,67683,40.3725555373,40.3725476874,34365.2548259
013,Hamilton West,Hamilton West,67010,66.8874031668,67.4509963109,65704.0683857
014,Hutt South,Hutt South,66564,337.600040876,984.563436139,185869.493759
015,Ilam,Ilam,67502,108.989029801,108.989029854,51405.7274613
016,Invercargill,Invercargill,64992,10941.4402128,27917.1391992,1062891.33271
017,Kaikōura,Kaikoura,64383,21651.0901351,33181.0327083,1012105.79015
018,Kaipara ki Mahurangi,Kaipara ki Mahurangi,65280,2218.46995911,5756.21989026,474112.663036
019,Kelston,Kelston,62689,25.6093166382,30.2987123254,32679.2193537
020,Mana,Mana,65980,314.098113379,1013.60365444,154707.840684
021,Māngere,Mangere,65515,56.373838464,155.138235393,66435.4448182
022,Manurewa,Manurewa,66763,30.4018379996,33.5660430894,34885.0078927
023,Maungakiekie,Maungakiekie,62072,28.7813773351,31.1428805781,26103.0053386
024,Mt Albert,Mt Albert,64118,20.2430646183,33.7993810762,31551.4549951
025,Mt Roskill,Mt Roskill,66303,20.6972043536,23.3081967232,24604.3141861
026,Napier,Napier,63257,9482.59989218,14443.3898259,719458.988472
027,Nelson,Nelson,64019,525.684821225,1348.56023556,192481.07137
028,New Lynn,New Lynn,67217,302.052082547,952.897319007,163149.013874
029,New Plymouth,New Plymouth,66810,1017.09483318,3347.01908669,255911.386772
030,North Shore,North Shore,65331,23.9658032347,72.4890556489,37858.7922855
031,Northcote,Northcote,65249,27.5316465838,42.4222275282,26866.2387991
032,Northland,Northland,67803,11279.8499625,28892.838744,1155985.85885
033,Ōhāriu,Ohariu,62261,115.97110921,302.093132865,109249.369425
034,Ōtaki,Otaki,63263,1428.92070574,3031.03760109,274639.38399
035,Pakuranga,Pakuranga,62498,22.6244653726,38.8471929061,30927.9861773
036,Palmerston North,Palmerston North,62127,46.234609483,46.23464873,35972.0486946
037,Panmure-Ōtāhuhu,Panmure-Otahuhu,67234,29.5571664737,35.4207493079,41117.9263731
038,Papakura,Papakura,61820,772.937099449,1007.39442053,223947.184076
039,Port Waikato,Port Waikato,61963,2180.13971067,3957.25448544,353037.401557
040,Rangitata,Rangitata,67816,6809.61076181,8827.06528226,551103.334226
041,Rangitīkei,Rangitikei,63668,12498.4189676,13252.0613908,1021979.86641
042,Remutaka,Remutaka,67028,508.581736202,508.581747698,137870.900209
043,Rongotai,Rongotai,62897,820.880315333,13794.684591,583551.77161
044,Rotorua,Rotorua,63585,2865.32543906,3075.24821653,362001.177103
045,Selwyn,Selwyn,62209,6410.92771822,6859.98457802,562232.180972
046,Southland,Southland,65088,31313.0531585,40282.0132741,1546153.58182
047,Taieri,Taieri,65309,5636.34860458,7358.6936081,500442.92935
048,Takanini,Takanini,66306,45.13867832,49.4616556315,54087.0807321
049,Tāmaki,Tamaki,61742,25.1803900295,42.0704100262,32883.184235
050,Taranaki-King Country,Taranaki-King Country,63450,13052.6657184,17293.9003546,828362.132557
051,Taupō,Taupo,68078,8255.39281135,8886.19519532,698348.038756
052,Tauranga,Tauranga,66787,59.2612578636,507.373905515,168882.790631
053,Te Atatū,Te Atatu,67421,29.6431138729,40.1671627468,39114.4094533
054,Tukituki,Tukituki,66560,4285.0181987,6227.76770986,492059.200629
055,Upper Harbour,Upper Harbour,66240,33.1076307582,41.0429597536,46486.9116778
056,Waikato,Waikato,64265,3491.33695197,3515.0076571,375004.456261
057,Waimakariri,Waimakariri,65942,1750.34894969,1997.54504372,334000.076696
058,Wairarapa,Wairarapa,64402,11860.0998366,18498.7039544,689128.53551
059,Waitaki,Waitaki,64983,30780.6940726,34719.1943931,1181707.56183
060,Wellington Central,Wellington Central,64272,144.169806517,853.553304648,134164.484201
061,West Coast-Tasman,West Coast-Tasman,63677,32757.8728357,51026.0664232,1655204.62586
062,Whanganui,Whanganui,64175,5765.64223813,8644.94301808,619868.567671
063,Whangaparāoa,Whangaparaoa,65847,186.287084551,448.117022993,128405.132668
064,Whangārei,Whangarei,67131,1229.43506664,3373.24538298,304402.210907
065,Wigram,Wigram,66396,46.1070668814,46.1072670795,38295.1465974